PolicyID,CustomerID,IssueDate,Premium,Status,StatusDate,CohortFlag,AgeBand,Product,Channel
52,242,2022-05-18,4629.42,Active,2022-11-27,A,31-45,Term Life,Branch
53,2042,2022-12-08,1023.45,Active,2023-08-29,A,31-45,Whole Life,Referral
54,2825,2019-09-10,2176.31,Active,2019-12-08,B,18-30,Annuity,Online
55,2613,2019-01-19,3272.71,Surrendered,2020-05-14,A,18-30,Endowment,Referral
56,2946,2022-03-05,1424.56,Active,2023-01-24,A,31-45,Whole Life,Agent
57,1364,2019-08-11,3091.53,Active,2020-10-13,B,46-60,Endowment,Online
58,2140,2019-01-03,7554.48,Active,2020-04-28,B,18-30,Annuity,Branch
59,1391,2022-06-13,1029.22,Active,2023-09-29,A,46-60,Annuity,Online
60,1479,2021-05-03,3735.97,Active,2024-02-01,B,31-45,Whole Life,Referral
61,2557,2023-01-28,2361.24,Lapsed,2023-05-06,B,61+,Whole Life,Agent
62,776,2019-08-16,347.44,Surrendered,2019-12-08,A,31-45,Term Life,Agent
63,35,2023-08-05,3242.83,Active,2023-09-10,A,61+,Endowment,Branch
64,2254,2020-05-13,4663.74,Active,2021-04-05,A,18-30,Whole Life,Branch
65,1956,2024-02-29,2259.47,Surrendered,2024-08-30,B,18-30,Annuity,Referral
66,1586,2024-07-08,4013.12,Active,2025-03-15,A,18-30,Whole Life,Online
67,1022,2022-03-08,2095.92,Active,2022-05-14,B,18-30,Annuity,Agent
68,2614,2022-07-23,4212.72,Surrendered,2023-08-09,B,31-45,Term Life,Agent
69,1130,2021-12-12,1709.79,Active,2022-11-29,A,31-45,Endowment,Referral
70,1501,2020-12-15,5520.37,Active,2021-04-06,A,18-30,Endowment,Online
71,703,2021-08-05,4628.03,Active,2022-03-21,B,46-60,Term Life,Online
72,2450,2021-05-19,5401.97,Active,2023-08-17,B,61+,Whole Life,Branch
73,2778,2021-12-06,543.43,Active,2023-06-01,B,18-30,Endowment,Branch
74,1580,2019-04-04,5665.07,Lapsed,2019-07-06,B,18-30,Term Life,Online
75,162,2020-07-13,1022.55,Active,2022-08-22,A,18-30,Term Life,Referral
76,202,2023-11-11,2653.86,Active,2023-12-06,A,46-60,Term Life,Online
77,1982,2020-03-11,3634.32,Active,2020-09-22,A,18-30,Term Life,Online
78,996,2021-05-01,1833.01,Active,2021-05-31,A,61+,Term Life,Agent
79,2318,2019-07-24,3914.9,Active,2022-02-19,B,61+,Annuity,Referral
80,816,2022-01-04,3989.9,Lapsed,2022-01-19,B,31-45,Whole Life,Referral
81,456,2019-03-18,223.81,Active,2019-05-16,A,46-60,Endowment,Referral
82,1276,2021-03-26,2880.16,Active,2023-09-11,A,31-45,Term Life,Referral
83,1017,2021-02-06,9123.04,Active,2021-12-21,B,46-60,Annuity,Branch
84,2344,2019-04-16,5079.94,Lapsed,2020-11-14,B,46-60,Whole Life,Branch
85,2768,2024-11-05,1551.57,Active,2024-11-11,B,61+,Whole Life,Agent
86,338,2023-10-13,3689.02,Active,2024-04-28,A,18-30,Annuity,Branch
87,879,2023-01-05,2942.22,Active,2027-03-05,A,61+,Term Life,Referral
88,1077,2019-09-02,1539.01,Active,2020-07-14,B,31-45,Endowment,Online
89,792,2022-11-06,4898.85,Lapsed,2024-09-27,A,46-60,Term Life,Agent
90,2265,2021-09-08,5486.16,Active,2024-12-29,B,31-45,Annuity,Online
91,764,2023-10-03,2148.81,Active,2024-11-27,A,61+,Term Life,Branch
92,2236,2019-05-22,5594.03,Lapsed,2019-10-13,B,46-60,Endowment,Referral
93,380,2021-06-11,1857.38,Claimed,2021-10-23,A,18-30,Annuity,Agent
94,493,2022-10-23,2411.09,Active,2022-11-18,B,46-60,Term Life,Branch
95,1181,2020-06-28,2962.94,Active,2021-01-17,A,31-45,Whole Life,Online
96,2063,2023-01-09,5017.28,Active,2025-06-28,B,31-45,Annuity,Online
97,65,2021-02-01,3345.7,Active,2021-09-26,B,31-45,Whole Life,Referral
98,2569,2020-09-15,3206.79,Lapsed,2023-02-14,B,31-45,Endowment,Branch
99,1368,2020-10-17,2658.99,Lapsed,2022-06-29,B,46-60,Endowment,Agent
100,1153,2022-06-01,2707.61,Active,2026-07-23,A,46-60,Term Life,Agent
101,2028,2019-02-12,6571.63,Active,2022-01-23,B,61+,Whole Life,Agent
102,2696,2021-10-23,4666.26,Active,2023-01-13,B,61+,Whole Life,Online
103,1496,2023-07-19,3163.86,Active,2025-08-05,B,46-60,Term Life,Branch
104,1163,2022-07-15,5279.54,Lapsed,2023-11-30,A,61+,Endowment,Agent
105,1523,2020-08-18,4098.27,Active,2021-11-04,B,46-60,Whole Life,Agent
106,2641,2021-10-09,1371.9,Active,2023-01-10,A,18-30,Whole Life,Agent
107,392,2024-10-11,3181.8,Active,2026-01-19,B,46-60,Term Life,Agent
108,1699,2021-08-15,4849.93,Claimed,2022-02-05,B,61+,Endowment,Agent
109,419,2020-07-14,1679.57,Active,2021-01-31,B,18-30,Term Life,Branch
110,2337,2022-08-23,3835.25,Surrendered,2022-12-28,B,61+,Whole Life,Online
111,379,2022-08-05,2867.65,Lapsed,2022-10-02,A,46-60,Term Life,Referral
112,1797,2023-12-27,2558.52,Active,2024-08-06,A,61+,Term Life,Branch
113,2279,2023-03-31,3591.69,Active,2025-07-18,B,46-60,Endowment,Online
114,2089,2021-04-29,2849.6,Active,2022-05-18,B,61+,Term Life,Online
115,2183,2022-07-02,4016.72,Active,2022-07-23,B,61+,Annuity,Branch
116,201,2023-03-14,1229.25,Lapsed,2024-11-11,A,46-60,Annuity,Online
117,1864,2023-12-20,2807.81,Active,2026-09-14,B,18-30,Annuity,Online
118,780,2023-10-08,2078.92,Active,2025-07-14,A,46-60,Whole Life,Online
119,2978,2020-08-28,1760.69,Active,2021-12-15,A,46-60,Whole Life,Online
120,503,2023-01-26,433.49,Active,2023-03-26,B,46-60,Endowment,Agent
121,2455,2022-07-18,1748.18,Active,2022-12-21,A,31-45,Term Life,Branch
122,1752,2021-01-15,3409.91,Active,2021-11-15,B,31-45,Endowment,Branch
123,805,2020-07-11,4151.67,Active,2020-08-09,A,61+,Term Life,Referral
124,2147,2024-10-12,2733.62,Active,2024-11-22,B,31-45,Endowment,Agent
125,2732,2021-07-30,3858.81,Active,2024-04-18,B,18-30,Term Life,Agent
126,1896,2022-06-23,3245.64,Active,2023-09-08,B,46-60,Annuity,Agent
127,2774,2021-07-28,1048.23,Active,2021-11-22,B,18-30,Endowment,Referral
128,1571,2023-05-30,2029.09,Lapsed,2023-10-21,B,46-60,Term Life,Branch
129,961,2023-09-22,5179.85,Active,2024-03-17,B,18-30,Annuity,Agent
130,2661,2021-09-11,3313.9,Active,2021-10-09,A,31-45,Whole Life,Branch
131,1486,2023-05-07,2674.29,Active,2024-09-08,A,46-60,Term Life,Referral
132,2691,2022-08-29,750.37,Active,2022-11-08,A,31-45,Term Life,Agent
133,1029,2024-02-18,1948.2,Active,2025-10-06,B,31-45,Term Life,Branch
134,503,2020-10-23,684.63,Surrendered,2022-09-05,B,46-60,Endowment,Online
135,2815,2019-02-02,5148.64,Active,2020-02-08,B,18-30,Whole Life,Agent
136,398,2023-12-22,2129.73,Active,2025-06-10,B,61+,Endowment,Online
137,871,2024-10-21,1141.47,Active,2024-12-28,B,31-45,Whole Life,Agent
138,2843,2024-03-04,6023.3,Active,2025-01-11,B,31-45,Endowment,Branch
139,393,2022-03-02,1236.64,Active,2023-04-18,A,46-60,Term Life,Online
140,207,2019-03-02,1275.86,Active,2020-03-31,B,46-60,Term Life,Online
141,1039,2023-03-24,3747.08,Surrendered,2023-05-08,B,18-30,Endowment,Online
142,1882,2019-09-29,5048.7,Active,2020-03-01,B,31-45,Term Life,Agent
143,2940,2022-04-14,1874.83,Active,2022-09-04,B,61+,Endowment,Agent
144,1485,2023-12-12,5023.0,Surrendered,2024-10-17,B,31-45,Endowment,Referral
145,864,2022-02-28,2613.59,Lapsed,2023-08-10,A,18-30,Whole Life,Agent
146,2791,2022-01-30,2824.38,Surrendered,2022-12-04,B,61+,Term Life,Online
147,564,2019-11-06,1718.91,Active,2021-04-02,B,46-60,Term Life,Referral
148,1021,2022-08-08,3052.49,Active,2022-09-15,A,46-60,Term Life,Branch
149,96,2023-10-12,913.68,Lapsed,2025-11-18,A,46-60,Endowment,Online
150,1924,2019-12-04,3113.18,Active,2020-09-09,B,18-30,Whole Life,Online
151,1758,2019-01-10,739.43,Active,2019-01-23,A,46-60,Term Life,Branch
152,2533,2019-02-18,1207.27,Active,2020-02-29,A,61+,Annuity,Branch
153,2279,2023-02-19,3930.44,Active,2023-11-11,B,46-60,Endowment,Referral
154,2797,2022-09-06,2503.64,Lapsed,2022-12-05,A,18-30,Term Life,Online
155,1679,2020-12-31,6436.19,Surrendered,2022-06-11,B,31-45,Whole Life,Online
156,541,2021-03-05,3829.22,Lapsed,2023-11-19,A,31-45,Endowment,Branch
157,1060,2023-07-07,1148.15,Active,2023-11-26,B,61+,Endowment,Online
158,2573,2019-05-13,3159.17,Active,2020-01-16,B,18-30,Endowment,Online
159,1184,2024-10-31,4174.61,Lapsed,2024-12-20,A,46-60,Endowment,Referral
160,1723,2024-10-05,2913.32,Claimed,2027-06-01,A,46-60,Annuity,Branch
161,1820,2020-01-11,3051.78,Active,2020-05-30,B,31-45,Whole Life,Agent
162,2626,2019-09-28,1508.49,Active,2019-12-16,B,46-60,Endowment,Online
163,2730,2023-02-15,1709.29,Lapsed,2023-10-10,A,31-45,Endowment,Referral
164,2605,2024-11-28,3075.42,Active,2024-12-14,B,31-45,Endowment,Online
165,1598,2019-03-17,1822.05,Active,2019-07-01,A,46-60,Whole Life,Referral
166,2694,2024-05-10,770.08,Active,2024-06-04,A,31-45,Term Life,Referral
167,796,2023-07-25,6156.68,Active,2023-09-12,A,31-45,Annuity,Agent
168,1052,2019-11-25,833.66,Active,2020-01-07,B,18-30,Annuity,Referral
169,1644,2024-12-09,4318.19,Active,2026-12-30,B,46-60,Annuity,Branch
170,1364,2019-02-10,3954.46,Active,2021-10-09,A,18-30,Term Life,Referral
171,1982,2022-04-05,1874.35,Active,2022-11-25,A,46-60,Whole Life,Agent
172,1355,2024-08-18,855.15,Active,2025-08-16,B,46-60,Whole Life,Online
173,1664,2019-01-13,4796.56,Active,2020-03-22,B,46-60,Annuity,Referral
174,1530,2021-07-12,4346.24,Active,2022-01-09,B,46-60,Annuity,Agent
175,2039,2024-01-17,3223.79,Active,2024-07-03,A,61+,Endowment,Branch
176,1497,2022-05-17,351.31,Active,2023-07-01,A,61+,Whole Life,Online
177,2238,2022-04-29,3101.87,Active,2022-10-18,B,31-45,Term Life,Agent
178,1409,2020-10-14,2118.74,Active,2021-08-27,A,18-30,Term Life,Online
179,1401,2023-08-31,586.42,Active,2024-05-21,A,18-30,Term Life,Branch
180,1307,2020-09-12,5873.47,Active,2021-06-10,B,31-45,Whole Life,Referral
181,2681,2024-05-16,424.48,Active,2026-02-20,A,18-30,Annuity,Referral
182,2676,2023-07-04,4259.47,Active,2024-09-20,B,61+,Annuity,Agent
183,973,2020-02-21,2993.68,Active,2023-05-17,B,18-30,Whole Life,Branch
184,1769,2020-10-25,1242.48,Lapsed,2022-05-19,B,46-60,Annuity,Referral
185,1283,2023-11-14,2704.16,Lapsed,2024-01-10,B,46-60,Endowment,Online
186,710,2022-10-11,1337.79,Active,2024-02-12,A,46-60,Endowment,Online
187,1480,2019-05-28,3004.22,Active,2020-06-30,B,46-60,Endowment,Branch
188,1435,2024-08-07,3800.92,Surrendered,2025-08-21,B,31-45,Endowment,Online
189,649,2022-10-20,862.08,Active,2023-06-16,B,31-45,Endowment,Branch
190,318,2023-09-22,7236.4,Active,2023-10-15,A,61+,Whole Life,Branch
191,1258,2020-02-06,2773.66,Active,2023-02-14,A,61+,Term Life,Referral
192,684,2023-02-24,3692.62,Active,2025-01-21,A,61+,Annuity,Branch
193,664,2024-07-24,839.14,Lapsed,2025-03-24,A,31-45,Endowment,Referral
194,1999,2019-08-17,2067.46,Active,2019-10-19,B,18-30,Endowment,Online
195,1632,2023-05-18,4073.23,Active,2025-02-11,A,46-60,Term Life,Branch
196,1496,2019-09-25,7278.52,Surrendered,2020-04-17,A,18-30,Term Life,Online
197,1137,2022-11-29,2723.02,Active,2023-05-28,A,46-60,Term Life,Branch
198,1854,2023-12-22,4045.9,Active,2025-01-24,B,61+,Term Life,Online
199,1521,2021-10-31,2642.87,Active,2023-04-02,B,46-60,Whole Life,Agent
200,2490,2022-09-05,721.44,Active,2022-09-28,B,18-30,Annuity,Branch
201,564,2019-05-06,4426.39,Lapsed,2020-10-19,B,18-30,Term Life,Referral
202,1292,2023-09-22,1786.31,Surrendered,2025-01-17,A,61+,Annuity,Agent
203,1637,2022-01-17,2506.0,Lapsed,2022-12-07,A,61+,Endowment,Agent
204,3000,2022-10-07,3336.95,Active,2023-03-06,A,18-30,Term Life,Referral
205,699,2020-11-19,2160.57,Active,2021-01-23,A,61+,Endowment,Branch
206,2161,2022-07-04,4563.73,Lapsed,2022-08-12,A,31-45,Whole Life,Agent
207,2,2022-05-17,870.65,Active,2022-05-17,B,61+,Endowment,Referral
208,642,2019-10-08,1604.04,Lapsed,2019-12-31,A,18-30,Whole Life,Agent
209,2268,2020-03-18,1056.92,Active,2020-09-27,B,31-45,Endowment,Branch
210,1590,2024-02-07,290.63,Surrendered,2024-05-18,B,18-30,Annuity,Agent
211,855,2021-04-16,3146.05,Active,2021-08-28,B,31-45,Whole Life,Branch
212,1760,2020-01-24,3876.71,Active,2020-07-22,A,61+,Term Life,Branch
213,2433,2020-09-08,2216.88,Active,2021-01-20,A,61+,Whole Life,Agent
214,1662,2019-05-27,1526.97,Active,2020-09-08,B,18-30,Term Life,Branch
215,1154,2020-06-04,910.14,Active,2021-02-06,A,31-45,Whole Life,Agent
216,1077,2020-09-21,4790.65,Active,2020-09-28,A,18-30,Term Life,Branch
217,1708,2024-12-31,3305.69,Active,2025-04-03,A,46-60,Whole Life,Branch
218,2778,2019-10-16,1712.75,Active,2021-01-09,A,61+,Endowment,Branch
219,1696,2022-11-10,6872.56,Active,2023-03-20,B,18-30,Endowment,Agent
220,1734,2019-01-14,4300.75,Lapsed,2021-07-24,A,18-30,Endowment,Online
221,1440,2019-09-14,6564.51,Active,2020-12-12,A,46-60,Term Life,Agent
222,2295,2023-09-18,3510.85,Active,2024-01-20,A,46-60,Endowment,Referral
223,836,2022-11-24,5432.61,Active,2023-08-16,B,31-45,Annuity,Branch
224,203,2022-05-15,2378.52,Active,2023-06-20,B,46-60,Annuity,Agent
225,123,2021-05-07,4215.95,Lapsed,2021-07-24,A,31-45,Endowment,Branch
226,401,2022-04-10,1286.64,Lapsed,2022-07-22,A,18-30,Whole Life,Online
227,767,2020-04-08,5373.46,Lapsed,2020-12-22,A,46-60,Endowment,Online
228,294,2019-09-27,2060.16,Active,2022-04-28,A,31-45,Term Life,Agent
229,2328,2022-05-29,5438.76,Active,2022-10-29,B,18-30,Term Life,Agent
230,2932,2022-04-21,3941.04,Active,2022-10-25,B,31-45,Annuity,Referral
231,198,2019-03-13,14697.9,Active,2019-05-29,B,18-30,Whole Life,Online
232,1931,2022-07-30,540.71,Active,2023-06-23,B,31-45,Term Life,Referral
233,2800,2024-10-22,2110.59,Active,2026-02-25,B,61+,Term Life,Agent
234,2192,2023-10-17,774.28,Active,2024-05-16,B,18-30,Annuity,Referral
235,609,2020-05-11,4825.44,Surrendered,2021-09-29,A,18-30,Whole Life,Branch
236,1148,2021-09-14,2916.29,Lapsed,2022-01-23,B,31-45,Annuity,Branch
237,187,2021-06-28,6921.23,Active,2022-09-19,B,18-30,Endowment,Referral
238,2512,2020-01-08,994.64,Active,2020-04-26,B,31-45,Whole Life,Agent
239,1795,2019-12-28,1994.15,Claimed,2021-07-03,A,18-30,Whole Life,Referral
240,660,2024-11-10,679.33,Active,2026-08-20,B,46-60,Endowment,Online
241,2812,2022-09-06,5737.76,Lapsed,2024-04-11,B,46-60,Whole Life,Branch
242,1956,2019-11-20,4889.67,Active,2020-02-16,B,31-45,Annuity,Branch
243,2451,2020-07-28,595.32,Lapsed,2021-10-03,B,61+,Annuity,Branch
244,1370,2021-01-05,2266.7,Active,2021-10-14,A,46-60,Term Life,Branch
245,1987,2022-04-30,2855.94,Active,2026-08-06,A,46-60,Annuity,Online
246,1535,2023-08-23,3647.7,Active,2024-02-02,A,18-30,Annuity,Branch
247,147,2024-03-22,1614.86,Active,2025-09-11,B,61+,Whole Life,Online
248,2912,2020-12-19,3728.42,Surrendered,2021-06-05,A,61+,Annuity,Online
249,1735,2021-02-19,2197.77,Active,2021-08-22,A,61+,Annuity,Online
250,1844,2021-10-16,2648.84,Active,2021-11-27,A,61+,Endowment,Branch
251,489,2022-11-04,4433.13,Active,2023-02-12,A,61+,Endowment,Branch
252,2977,2022-11-27,3303.65,Lapsed,2023-01-31,A,61+,Whole Life,Online
253,1960,2020-10-25,1887.48,Lapsed,2020-12-27,B,46-60,Endowment,Branch
254,1664,2023-11-08,7017.34,Active,2023-11-11,B,31-45,Annuity,Referral
255,2599,2019-01-11,1250.51,Active,2020-08-09,B,31-45,Whole Life,Branch
256,2386,2021-11-04,3859.09,Active,2022-06-22,B,61+,Annuity,Branch
257,2920,2020-08-07,1640.3,Active,2022-03-25,B,18-30,Term Life,Online
258,641,2021-12-11,3825.6,Active,2022-11-22,B,46-60,Term Life,Referral
259,1803,2022-10-06,4480.31,Active,2024-07-16,A,18-30,Endowment,Referral
260,2521,2022-12-22,3032.58,Claimed,2023-09-03,A,46-60,Annuity,Online
261,1970,2024-01-29,2343.71,Active,2024-03-05,B,46-60,Endowment,Branch
262,2199,2023-11-25,4397.21,Active,2024-11-09,B,46-60,Whole Life,Branch
263,1439,2021-01-12,2794.28,Active,2022-03-01,B,18-30,Annuity,Online
264,1635,2023-11-12,1622.28,Active,2024-11-05,B,18-30,Term Life,Agent
265,263,2019-07-23,3388.48,Active,2021-03-03,A,61+,Endowment,Online
266,1788,2021-12-12,482.35,Active,2023-04-05,A,46-60,Annuity,Referral
267,2192,2021-08-31,7626.24,Active,2022-03-25,B,31-45,Annuity,Branch
268,2394,2022-10-30,6275.81,Lapsed,2024-07-15,B,46-60,Term Life,Agent
269,624,2024-02-09,1321.33,Active,2025-04-13,B,31-45,Whole Life,Referral
270,1017,2022-07-23,4616.48,Active,2022-09-07,B,61+,Term Life,Branch
271,881,2021-11-20,1714.29,Surrendered,2022-08-30,B,61+,Whole Life,Referral
272,2050,2022-03-04,2555.96,Active,2023-06-22,B,61+,Endowment,Online
273,2945,2019-04-15,1754.49,Active,2020-02-03,A,46-60,Endowment,Branch
274,1328,2019-09-10,2853.56,Active,2022-08-31,A,46-60,Endowment,Referral
275,2302,2019-10-22,1569.9,Lapsed,2019-11-30,A,31-45,Endowment,Referral
276,453,2022-03-27,997.86,Lapsed,2023-07-07,A,31-45,Whole Life,Referral
277,1184,2020-07-02,1618.45,Active,2022-03-29,B,18-30,Whole Life,Agent
278,2057,2023-11-13,1738.09,Active,2025-01-28,A,31-45,Endowment,Branch
279,1683,2019-10-26,2212.22,Active,2020-04-20,A,61+,Endowment,Online
280,2864,2023-10-15,2579.1,Surrendered,2024-04-09,B,46-60,Annuity,Online
281,2256,2024-01-18,3872.09,Active,2024-12-05,A,18-30,Annuity,Online
282,1155,2019-04-11,1157.63,Lapsed,2019-10-12,A,46-60,Term Life,Referral
283,404,2023-11-10,4224.93,Active,2026-01-01,A,61+,Whole Life,Referral
284,2200,2021-05-23,3096.76,Active,2021-07-04,B,61+,Term Life,Online
285,2102,2019-04-02,1206.1,Active,2020-04-08,B,61+,Whole Life,Referral
286,1697,2020-03-22,1374.44,Active,2020-05-13,B,18-30,Whole Life,Agent
287,628,2019-04-19,1725.15,Active,2020-01-27,B,46-60,Endowment,Branch
288,587,2019-11-13,712.59,Surrendered,2021-02-13,A,31-45,Endowment,Branch
289,1649,2024-01-10,9331.06,Active,2024-03-16,B,46-60,Term Life,Agent
290,1444,2024-04-27,1988.39,Active,2025-07-15,B,46-60,Endowment,Branch
291,1446,2022-12-29,2407.44,Active,2023-02-22,B,18-30,Endowment,Agent
292,104,2020-03-17,3188.11,Lapsed,2021-03-05,A,31-45,Endowment,Agent
293,254,2022-05-30,1120.91,Surrendered,2023-02-11,A,31-45,Annuity,Agent
294,2558,2023-04-01,1873.78,Active,2023-08-08,A,46-60,Whole Life,Agent
295,1497,2019-10-05,4171.01,Active,2019-11-17,A,61+,Endowment,Online
296,99,2020-07-22,4023.29,Active,2021-11-19,B,46-60,Endowment,Agent
297,2201,2021-10-06,128.09,Active,2022-03-30,A,18-30,Whole Life,Agent
298,1885,2021-04-18,2474.98,Active,2021-05-21,B,61+,Term Life,Referral
299,2962,2023-05-27,2677.34,Active,2024-11-17,A,18-30,Annuity,Referral
300,1920,2019-01-30,2161.85,Active,2019-05-06,B,61+,Annuity,Online
301,878,2024-04-26,3603.32,Active,2025-08-25,A,61+,Annuity,Agent
302,338,2024-11-03,3492.8,Active,2025-09-02,A,61+,Annuity,Agent
303,2870,2022-06-11,3251.91,Active,2022-08-28,A,31-45,Endowment,Online
304,957,2019-12-31,3448.46,Active,2020-01-29,A,61+,Endowment,Agent
305,1705,2023-12-06,495.12,Active,2024-10-29,B,31-45,Whole Life,Branch
306,161,2023-12-28,2741.22,Active,2024-01-06,A,18-30,Annuity,Agent
307,1604,2024-02-06,4100.86,Lapsed,2024-03-01,B,61+,Annuity,Online
308,2849,2021-06-23,1105.57,Active,2022-09-08,B,61+,Endowment,Agent
309,398,2020-11-28,5349.59,Active,2021-09-06,A,61+,Annuity,Agent
310,1301,2024-12-18,4640.57,Active,2025-05-11,A,18-30,Endowment,Online
311,816,2024-01-30,2787.89,Surrendered,2024-11-07,A,46-60,Whole Life,Online
312,1528,2019-12-17,2621.9,Active,2020-11-07,A,46-60,Term Life,Branch
313,1920,2019-06-29,1824.0,Surrendered,2020-04-28,B,18-30,Whole Life,Branch
314,1416,2023-02-12,1702.03,Active,2024-02-22,B,18-30,Endowment,Branch
315,1159,2022-04-01,3066.04,Active,2025-01-23,A,18-30,Term Life,Branch
316,1219,2023-12-12,1579.68,Active,2024-06-08,B,46-60,Whole Life,Online
317,401,2021-02-12,2974.36,Active,2021-06-22,A,31-45,Endowment,Branch
318,640,2020-05-24,1857.07,Active,2020-06-07,B,18-30,Endowment,Branch
319,2736,2019-12-31,3270.07,Active,2020-02-27,A,46-60,Term Life,Online
320,460,2019-12-19,3338.94,Lapsed,2020-01-29,B,31-45,Term Life,Agent
321,955,2022-01-11,4554.6,Active,2022-06-09,A,61+,Annuity,Agent
322,470,2022-06-02,846.53,Active,2023-05-11,A,61+,Endowment,Agent
323,1046,2020-02-16,2752.69,Active,2020-03-04,A,18-30,Term Life,Agent
324,2798,2021-01-04,994.11,Active,2022-04-23,A,31-45,Endowment,Referral
325,1694,2019-04-28,3587.93,Active,2019-10-29,B,46-60,Term Life,Agent
326,2086,2020-04-26,387.85,Active,2023-08-17,A,61+,Whole Life,Referral
327,2278,2019-07-11,4457.43,Active,2020-05-12,A,61+,Annuity,Online
328,563,2019-04-17,1724.8,Active,2020-10-06,B,46-60,Annuity,Branch
329,2486,2020-01-17,5266.25,Active,2022-01-06,B,61+,Whole Life,Branch
330,1800,2021-02-21,2960.46,Active,2023-05-03,A,61+,Annuity,Referral
